indikator_nomor,indikator_nama,baris_excel,kolom,unit_excel,unit_db,numerator,denominator,flag
1,Kepatuhan Cuci Tangan,8,D,,,10,10,UNIT_KOSONG
1,Kepatuhan Cuci Tangan,8,E,Amarilis,Amarilis,58,60,
1,Kepatuhan Cuci Tangan,8,F,Mawar,Mawar,50,50,
1,Kepatuhan Cuci Tangan,8,G,Daisy,Daisy,49,50,
1,Kepatuhan Cuci Tangan,8,H,IGD,IGD,89,92,
1,Kepatuhan Cuci Tangan,8,I,5,,160,160,UNIT_KOSONG
1,Kepatuhan Cuci Tangan,8,K,Isolasi,Isolasi,130,130,
1,Kepatuhan Cuci Tangan,8,L,Lavender,Lavender,35,35,
1,Kepatuhan Cuci Tangan,8,M,Lily,Lily,16,16,
1,Kepatuhan Cuci Tangan,8,N,Violet,Violet,65,65,
1,Kepatuhan Cuci Tangan,8,O,Laboratorium,Laboratorium,12,13,
2,Kepatuhan Penggunaan APD,14,D,,,70,70,UNIT_KOSONG
2,Kepatuhan Penggunaan APD,14,F,Mawar,Mawar,14,14,
2,Kepatuhan Penggunaan APD,14,G,Daisy,Daisy,46,46,
2,Kepatuhan Penggunaan APD,14,H,IGD,IGD,10,10,
2,Kepatuhan Penggunaan APD,14,I,5,,57,57,UNIT_KOSONG
2,Kepatuhan Penggunaan APD,14,K,Isolasi,Isolasi,37,38,
2,Kepatuhan Penggunaan APD,14,L,Lavender,Lavender,9,11,
2,Kepatuhan Penggunaan APD,14,M,Lily,Lily,26,27,
2,Kepatuhan Penggunaan APD,14,N,Violet,Violet,139,139,
2,Kepatuhan Penggunaan APD,14,O,Laboratorium,Laboratorium,12,13,
3,Kepatuhan Identifikasi Pasien,20,D,,,36,39,UNIT_KOSONG
3,Kepatuhan Identifikasi Pasien,20,E,Amarilis,Amarilis,8,8,
3,Kepatuhan Identifikasi Pasien,20,F,Mawar,Mawar,56,56,
3,Kepatuhan Identifikasi Pasien,20,G,Daisy,Daisy,214,214,
3,Kepatuhan Identifikasi Pasien,20,H,IGD,IGD,139,139,
3,Kepatuhan Identifikasi Pasien,20,I,5,,7,7,UNIT_KOSONG
